,headline,url,date,author,summary
119,Jeff Bezos unveils sweeping plan to tackle climate change,https://www.cnbc.com/2019/09/19/jeff-bezos-speaks-about-amazon-sustainability-in-washington-dc.html?&qsearchterm=CLIMATE CHANGE,9/19/2019 10:08:13 AM ET,Annie Palmer,"Amazon CEO Jeff Bezos unveiled a sweeping new plan on Thursday to tackle climate change, committing the retail giant to meet the goals of the ..."
120,BlackRock CEO says the climate crisis is about to trigger ‘a fundamental reshaping of finance’,https://www.cnbc.com/2020/01/14/blackrock-ceo-larry-fink-says-climate-change-will-soon-reshape-markets.html?&qsearchterm=CLIMATE CHANGE,1/14/2020 6:01:06 AM ET,Sam Meredith,"The chief of the world’s largest money manager believes the intensifying climate crisis will bring about a fundamental reshaping of finance, with a significant reallocation ..."
121,Environment groups say EU’s planned climate law means a lost decade,https://www.cnbc.com/2020/03/02/reuters-america-environment-groups-say-eus-planned-climate-law-means-a-lost-decade.html?&qsearchterm=CLIMATE CHANGE,3/2/2020 11:07:00 AM ET,Sam Meredith,"BRUSSELS, March 2 (Reuters) - Environmental groups said on Monday that a decade could be lost in Brussels’ plan to combat change because its planned ..."
122,"World needs ‘grand coalition’ on climate change, IEA’s Birol says",https://www.cnbc.com/2019/11/13/world-needs-grand-coalition-on-climate-change-ieas-birol-says.html?&qsearchterm=CLIMATE CHANGE,11/13/2019 9:38:21 AM ET,Anmar Frangoul,"The world needs a “grand coalition” to address climate change, according to the Executive Director of the International Energy Agency (IEA).Fatih Birol was speaking to ..."
123,"Developing economies reliant on agriculture are more exposed to climate risks, McKinsey finds",https://www.cnbc.com/2020/01/17/developing-nations-more-exposed-to-climate-risks-mckinsey-finds.html?&qsearchterm=CLIMATE CHANGE,1/16/2020 11:53:19 PM ET,Grace Shao,"Countries and regions with lower per capita GDP levels are generally more exposed to climate change, according to McKinsey Global Institute’s newest climate risk report.“Poorer ..."
124,UPDATE 1-Credit Suisse opposes climate expert testimony as Swiss protests spread,https://www.cnbc.com/2020/02/18/reuters-america-update-1-credit-suisse-opposes-climate-expert-testimony-as-swiss-protests-spread.html?&qsearchterm=CLIMATE CHANGE,2/18/2020 1:37:00 PM ET,Grace Shao,spread@* Protesters target Credit Suisse branch in Basel* Swiss banks under pressure to stop financing fossil fuel* Lausanne court last month acquitted climate activists (Adds ...
125,"ECB needs policy review, should boost focus on climate change, Lagarde says",https://www.cnbc.com/2019/09/04/lagarde-ecb-needs-policy-review-should-boost-focus-on-climate-change.html?&qsearchterm=CLIMATE CHANGE,9/4/2019 7:42:16 AM ET,Grace Shao,The European Central Bank (ECB) needs to keep policy loose for a long time but should carry out a broader review of policy that also ...
126,Italy’s white truffle hunters worry about climate change,https://www.cnbc.com/2019/11/18/italys-white-truffle-hunters-worry-about-climate-change.html?&qsearchterm=CLIMATE CHANGE,11/17/2019 9:12:27 PM ET,Grace Shao,"Rising global temperatures are worrying truffle hunters around the Italian town of Alba, where the most prized specimens can fetch twice the price of gold.This ..."
127,"Terrorism, climate change and dependence on Asia — Saudi Aramco faces these risks as it ...",https://www.cnbc.com/2019/11/10/saudi-aramco-risks-before-ipo-including-impact-of-climate-change.html?&qsearchterm=CLIMATE CHANGE,11/10/2019 3:31:05 PM ET,Michael Sheetz,"As Saudi Aramco prepares for its long-awaited initial public offering this year, the world’s largest oil company has detailed the vast number of risks its ..."
128,Unilever lays out plans for $1 billion investment in climate and nature fund,https://www.cnbc.com/2020/06/15/unilever-plans-for-1-billion-investment-in-climate-and-nature-fund.html?&qsearchterm=CLIMATE CHANGE,6/15/2020 7:46:30 AM ET,Anmar Frangoul,"Unilever announced Monday that its brands will pump one billion euros ($1.13 billion) into a climate and nature fund, and pledged net-zero emissions across its ..."
129,"Trade wars, climate change plunge the family farm into crisis. Is it an endangered American ...",https://www.cnbc.com/2019/11/02/trade-wars-climate-change-plunge-the-family-farm-into-crisis.html?&qsearchterm=CLIMATE CHANGE,11/2/2019 11:17:55 AM ET,Anmar Frangoul,"Farm bankruptcies in September surged 24% amid a perfect storm created by President Donald Trump’s trade war with China and Europe, slumping commodity prices, and ..."
130,UPDATE 2-Cancelled Teck oil sands project underscores global climate-energy policy tension,https://www.cnbc.com/2020/02/24/reuters-america-update-2-cancelled-teck-oil-sands-project-underscores-global-climate-energy-policy-tension.html?&qsearchterm=CLIMATE CHANGE,2/24/2020 4:43:00 PM ET,Anmar Frangoul,"policy tension@ (Adds quote from PM Trudeau, details on Constitution project in New York state, background)WINNIPEG, Manitoba/OTTAWA, Feb 24 (Reuters) - Teck Resources Ltd’s surprise ..."
131,Beyond Meat uses climate change to market fake meat substitutes. Scientists are cautious,https://www.cnbc.com/2019/09/02/beyond-meat-uses-climate-change-to-market-fake-meat-substitutes-scientists-are-cautious.html?&qsearchterm=CLIMATE CHANGE,9/2/2019 9:00:15 AM ET,Emma Newburger,"As concerns mount over the dangers of a rapidly warming planet, upstart food companies are targeting a major climate-damaging food: beef.Beyond Meat and its privately ..."
132,"Climate change a major headwind for the global economy, expert says",https://www.cnbc.com/video/2019/09/25/climate-change-a-major-headwind-for-the-global-economy-expert-says.html?&qsearchterm=CLIMATE CHANGE,9/25/2019 5:34:14 AM ET,Emma Newburger,"Dirk Schumacher, head of European macro research at Natixis, discusses the link between climate change and economic output."
133,Elizabeth Warren slams Twitter for a policy that bans ads from groups fighting climate change,https://www.cnbc.com/2019/11/05/elizabeth-warren-slams-twitter-for-ban-on-ads-tied-to-climate-change.html?&qsearchterm=CLIMATE CHANGE,11/5/2019 5:26:37 PM ET,Salvador Rodriguez,"Elizabeth Warren is proving to be an equal opportunist when it comes to taking on social media companies.On Tuesday, Sen. Warren, who’s running for president, ..."
134,Young Voter Money 2020: Democratic candidate John Delaney wants to pay you a carbon dividend ...,https://www.cnbc.com/2019/07/17/democratic-candidate-john-delaney-wants-to-pay-you-a-carbon-dividend.html?&qsearchterm=CLIMATE CHANGE,7/18/2019 8:30:02 AM ET,Joseph Magliocco,Many good policy ideas miss out on the daily cable news spin cycle — but it is not for a lack of trying. CNBC.com is ...
135,Walkouts held around the world as activists call for action on climate change,https://www.cnbc.com/video/2019/09/20/walkouts-held-around-the-world-as-activists-call-for-action-on-climate-change.html?&qsearchterm=CLIMATE CHANGE,9/20/2019 1:33:34 PM ET,Marilyn Haigh,"Activists around the world called for climate change action ahead of the United Nations climate summit. Students and employees planned to walk out in protest, ..."
136,"Central banks’ key policy goals are under threat from climate change, warns UBS",https://www.cnbc.com/2019/07/02/central-banks-key-policy-goals-are-under-threat-from-climate-change-warns-ubs.html?&qsearchterm=CLIMATE CHANGE,7/2/2019 6:54:06 AM ET,Elliot Smith,"Central banks around the world must proactively fight climate change in their own investment portfolios in order to safeguard their key priorities, according to research.A ..."
137,"America’s richest could afford this important investment to help fight climate change, scientist says",https://www.cnbc.com/2019/09/12/americas-richest-could-afford-this-investment-to-fight-climate-change.html?&qsearchterm=CLIMATE CHANGE,9/12/2019 12:50:56 PM ET,Elliot Smith,"The technology exists to “green” America’s electricity grid to fight climate change — and together, the country’s richest people have enough money to pay for ..."
138,Green investor: How Wall Street can show it’s serious about climate change,https://www.cnbc.com/video/2020/02/28/green-investor-how-wall-street-can-show-its-serious-about-climate-change.html?&qsearchterm=CLIMATE CHANGE,2/28/2020 8:35:41 PM ET,Elliot Smith,
139,"Large fund firms’ support for combating climate change is all talk, as proxy voting record ...",https://www.cnbc.com/2019/03/18/large-fund-firms-support-for-combating-climate-change-is-all-talk.html?&qsearchterm=CLIMATE CHANGE,3/18/2019 8:57:50 AM ET,Eric Rosenbaum,Climate change questions don’t get more fundamental than this one: How much time is left to act before it is too late?Right now the difficulty ...
140,Trump is rolling back over 80 environmental regulations. Here are five big changes you might ...,https://www.cnbc.com/2019/12/24/5-major-trump-climate-rollbacks-you-might-have-missed-in-2019.html?&qsearchterm=CLIMATE CHANGE,12/24/2019 9:01:01 AM ET,Emma Newburger,"President Donald Trump has taken historically unprecedented action to roll back a slew of environmental regulations that protect air, water, land and public health from ..."
141,"Worley is ‘well-positioned’ to address climate change and energy concerns, says CEO",https://www.cnbc.com/video/2020/02/26/worley-is-well-positioned-to-address-climate-change-energy-concerns.html?&qsearchterm=CLIMATE CHANGE,2/26/2020 1:55:49 AM ET,Emma Newburger,"Worley is well-placed in helping stakeholders to manage a transition from traditional energy sources to a newer, more sustainable energy mix for the future, says ..."
142,"The Federal Reserve is preparing the American financial system to withstand climate change, Chair Jerome ...",https://www.cnbc.com/2019/05/07/jerome-powell-fed-is-preparing-us-financial-system-for-climate-change.html?&qsearchterm=CLIMATE CHANGE,5/7/2019 3:35:17 PM ET,Tucker Higgins,"The Federal Reserve is taking steps to prepare the American financial system for the effects of climate change, according to Chairman Jerome Powell.But Powell noted ..."
143,"Amid power outages, CEO of generator maker anticipates ‘massive change’ coming to the grid",https://www.cnbc.com/2020/08/07/generac-ceo-anticipates-massive-change-coming-to-the-power-grid.html?&qsearchterm=CLIMATE CHANGE,8/7/2020 6:09:00 PM ET,Tyler Clifford,The chief executive of a generator manufacturer told CNBC on Friday that he expects drastic changes are coming to power production and his company is ...
144,Democratic presidential hopeful Beto O’Rourke proposes $5 trillion plan to combat climate change,https://www.cnbc.com/2019/04/29/beto-orourke-proposes-5-trillion-climate-change-plan.html?&qsearchterm=CLIMATE CHANGE,4/29/2019 9:21:28 AM ET,Tom DiChristopher,Democratic presidential candidate Beto O’Rourke on Monday revealed a $5 trillion plan to address climate change that would be funded largely by changes to the ...
145,"Some in GOP buck Trump, seek ways to fight climate change and counter Green New ...",https://www.cnbc.com/2019/03/11/some-in-gop-buck-trump-counter-green-new-deal-with-climate-plans.html?&qsearchterm=CLIMATE CHANGE,3/12/2019 8:00:24 AM ET,Tom DiChristopher,Republicans have trashed the Green New Deal — Rep. Alexandria Ocasio-Cortez’s proposal to eliminate greenhouse gas emissions and create a renewable energy economy — as ...
146,Investors urge Japan to strengthen climate targets ahead of U.N. summit,https://www.cnbc.com/2020/02/17/reuters-america-investors-urge-japan-to-strengthen-climate-targets-ahead-of-u-n-summit.html?&qsearchterm=CLIMATE CHANGE,2/17/2020 11:02:00 AM ET,Tom DiChristopher,"LONDON, Feb 17 (Reuters) - Investors managing $37 trillion in assets urged Japan to slash the country’s carbon emissions, saying on Monday that a strong ..."
147,Here’s what Warren Buffett thinks about climate change,https://www.cnbc.com/2019/03/25/heres-what-warren-buffett-thinks-about-climate-change-and-investing.html?&qsearchterm=CLIMATE CHANGE,3/25/2019 9:00:14 AM ET,Eric Rosenbaum,"Warren Buffett, chairman and CEO of Berkshire Hathaway, is for many people the first source to consult when it comes to the development of an ..."
148,Oyster reefs are making a comeback–by protecting coasts from the ravages of climate change,https://www.cnbc.com/2019/10/08/oyster-reefs-making-a-comeback-to-protect-coasts-from-climate-change.html?&qsearchterm=CLIMATE CHANGE,10/8/2019 8:05:15 AM ET,Diana Olick,"GOVERNORS ISLAND, N.Y. — They are salty, sumptuous and often served opulently on ice. They are also now on the front lines in the fight ..."
149,CORRECTED-Credit Suisse opposes climate expert testimony in Swiss protest case,https://www.cnbc.com/2020/02/18/reuters-america-corrected-credit-suisse-opposes-climate-expert-testimony-in-swiss-protest-case.html?&qsearchterm=CLIMATE CHANGE,2/18/2020 12:10:00 PM ET,Diana Olick,"case@ (Corrects in headline and paragraphs 1 and 4 to show Swiss prosecutors as well as Credit Suisse opposed climate testimonies)GENEVA, Feb 18 (Reuters) - ..."
150,Democratic presidential candidates debate climate-change policy and fracking,https://www.cnbc.com/video/2020/02/19/democratic-presidential-candidates-debate-climate-change-policy-and-fracking.html?&qsearchterm=CLIMATE CHANGE,2/19/2020 11:32:16 PM ET,Diana Olick,"Democratic candidates take the stage for the ninth primary debate of the 2020 presidential election, this one in Nevada. Former New York City Mayor Michael ..."
151,"Climate change could trigger an international food crisis, UN panel warns",https://www.cnbc.com/2019/08/07/un-climate-panel-urges-land-use-changes-to-avert-food-crisis.html?&qsearchterm=CLIMATE CHANGE,8/8/2019 4:00:24 AM ET,Emma Newburger,A report from the United Nations’ scientific panel on climate change warns that it will be impossible to keep worldwide temperatures at safe levels unless ...
152,Democratic debate: The climate change plan that got buried by last night’s Biden-Harris bickering,https://www.cnbc.com/2019/08/01/democratic-debate-the-climate-change-plan-that-got-buried-last-night.html?&qsearchterm=CLIMATE CHANGE,8/1/2019 7:00:13 AM ET,Joe Andrews,Many good policy ideas miss out on the daily cable news spin cycle after a big Democratic Party debate — but it is not for ...
153,"As the world heats up, converting to energy-efficient cooling systems will curb greenhouse gas emissions",https://www.cnbc.com/2020/07/17/energy-efficient-cooling-will-curb-climate-change-un-iea-report.html?&qsearchterm=CLIMATE CHANGE,7/17/2020 10:00:01 AM ET,Emma Newburger,"As the world heats up, converting to energy-efficient cooling systems is a major way to curb greenhouse gas emissions and limit climate change, according to ..."
154,Vermont’s maple syrup industry is recovering from decades of decline. Climate change could put that ...,https://www.cnbc.com/2019/09/28/climate-change-could-hurt-vermonts-maple-syrup-industry-recovery.html?&qsearchterm=CLIMATE CHANGE,9/28/2019 8:00:06 AM ET,Jordan McDonald,"Vermont’s maple syrup industry has entered a renaissance in the 21st century following decades of decline, becoming one of the Green Mountain State’s preeminent industries.In ..."
155,Climate change activists spray red liquid at UK Treasury building,https://www.cnbc.com/video/2019/10/03/climate-change-activists-spray-red-paint-at-uk-treasury-building.html?&qsearchterm=CLIMATE CHANGE,10/3/2019 12:39:32 PM ET,Marilyn Haigh,Climate change activists sprayed red liquid on a UK government building to draw attention to what they say is the government’s failure to act on ...
156,These companies are trying to predict what climate change will do to real estate investments,https://www.cnbc.com/2019/08/08/these-start-ups-lead-the-race-to-predict-climate-risk-for-real-estate.html?&qsearchterm=CLIMATE CHANGE,8/8/2019 8:05:47 AM ET,Diana Olick,Investors are turning to a new breed of high-tech start-ups that can measure the risk climate change poses to real estate — from an hour ...
157,WEF president on climate change: ‘This needs to be a decade of action’,https://www.cnbc.com/video/2020/01/15/wef-president-on-climate-change-this-needs-to-be-a-decade-of-action.html?&qsearchterm=CLIMATE CHANGE,1/15/2020 7:46:45 AM ET,Diana Olick,"Borge Brende, president of the World Economic Forum, said it’s time for dialogue on climate action with all key parties — including U.S. President Donald ..."
158,"Climate change will crush real estate values for investors who don’t prepare, new report says",https://www.cnbc.com/2019/04/08/climate-change-will-crush-real-estate-values-for-unprepared-investors-report.html?&qsearchterm=CLIMATE CHANGE,4/8/2019 12:11:08 PM ET,Diana Olick,"For any investor, measuring opportunity against risk is critical. And for real estate investors in particular, risk is rising exponentially in the age of climate ..."
159,Full Harvest CEO explains how it fights climate change by finding uses for imperfect produce,https://www.cnbc.com/video/2019/11/26/full-harvest-ceo-explains-how-it-fights-climate-change-by-finding-uses-for-damaged-produce.html?&qsearchterm=CLIMATE CHANGE,11/26/2019 8:19:34 PM ET,Diana Olick,Full Harvest CEO Christine Moseley explains to CNBC’s Jim Cramer how her company acts as a business-to-business marketplace for imperfect produce. Finding productive uses for ...
160,Rising Risks: The race to predict climate change,https://www.cnbc.com/video/2019/08/08/rising-risks-the-race-to-predict-climate-change.html?&qsearchterm=CLIMATE CHANGE,8/8/2019 12:43:52 PM ET,Diana Olick,CNBC’s Diana Olick takes a look at the race for companies to predict climate change in real estate.
161,"Time we come up with action plan on climate change, EnQuest CEO says",https://www.cnbc.com/video/2020/01/23/time-we-come-up-with-action-plan-on-climate-change-enquest-ceo-says.html?&qsearchterm=CLIMATE CHANGE,1/23/2020 6:26:35 AM ET,Diana Olick,"Amjad Bseisu, CEO of EnQuest, discusses the shift toward sustainable energy."
162,Protesters flock to US streets for climate change: Deirdre Bosa,https://www.cnbc.com/video/2019/09/20/protestors-flock-to-us-streets-for-climate-change-deirdre-bosa.html?&qsearchterm=CLIMATE CHANGE,9/20/2019 4:55:10 PM ET,Deirdre Bosa,"Bosa on climate change protests, happening around the country."
163,Energy Secretary Rick Perry: Humans do play a role in climate change,https://www.cnbc.com/video/2019/07/31/energy-secretary-rick-perry-climate-change-man-made-squawk-box.html?&qsearchterm=CLIMATE CHANGE,7/31/2019 9:14:51 AM ET,Deirdre Bosa,Energy Secretary Rick Perry told ’Squawk Box” on Wednesday that human beings “are part of the reason” that climate is changing.
164,"Investors’ next high-yield bets should be on ocean sustainability, researchers say",https://www.cnbc.com/2020/07/13/heres-the-economic-case-for-investing-in-oceans.html?&qsearchterm=CLIMATE CHANGE,7/13/2020 6:00:01 PM ET,Emma Newburger,"As the world grapples with climate change and an economic downturn, new research from the World Resources Institute suggests that sustainable ocean-based investments will yield ..."
165,Getting a handle on investing options in the age of accelerating climate change,https://www.cnbc.com/2019/03/11/investing-in-the-age-of-accelerating-climate-change.html?&qsearchterm=CLIMATE CHANGE,3/13/2019 9:00:10 AM ET,Emma Newburger,"While the pace of climate change is a matter of some debate, most would argue that our path of travel is not.We are headed toward ..."
166,Total CEO: Climate change is a fundamental issue,https://www.cnbc.com/video/2019/11/11/total-ceo-climate-change-is-a-fundamental-issue.html?&qsearchterm=CLIMATE CHANGE,11/11/2019 7:21:16 AM ET,Emma Newburger,"Oil and gas industry is facing some challenges but we are able to answer them, says Patrick Pouyanné, CEO of Total."
167,How Nike is tackling climate change at the Tokyo 2020 Olympics,https://www.cnbc.com/video/2020/02/05/how-nike-is-tackling-climate-change-at-the-tokyo-2020-olympics.html?&qsearchterm=CLIMATE CHANGE,2/5/2020 3:01:01 PM ET,Emma Newburger,"CNBC’s Lauren Thomas sits down with John Hoke, the chief design officer at Nike, to discuss how the retailer is preparing to outfit its athletes ..."
168,UPDATE 2-JPMorgan Chase plans to unveil climate initiatives at investor day,https://www.cnbc.com/2020/02/24/reuters-america-update-2-jpmorgan-chase-plans-to-unveil-climate-initiatives-at-investor-day.html?&qsearchterm=CLIMATE CHANGE,2/24/2020 10:33:00 PM ET,Emma Newburger,"(Adds details on potential shareholder resolution, BlackRock settlement)NEW YORK, Feb 24 (Reuters) - JPMorgan Chase & Co executives plan to announce new climate-change initiatives on ..."
169,Benioff defends Thunberg as Time’s ‘Person of the Year’ — the voice ‘we have needed’ ...,https://www.cnbc.com/2020/01/23/benioff-defends-thunberg-as-times-person-of-the-year.html?&qsearchterm=CLIMATE CHANGE,1/23/2020 3:08:11 PM ET,Kevin Stankiewicz,"Marc Benioff, the co-CEO of Salesforce and owner of Time, on Thursday defended the magazine’s selection of teenage climate activist Greta Thunberg as its Person ..."
170,"Trump’s climate inaction has left companies stepping up to fill the gap, Nasdaq CEO says",https://www.cnbc.com/2020/01/21/wef-firms-stepping-up-on-climate-amid-trump-inaction-nasdaq-ceo-says.html?&qsearchterm=CLIMATE CHANGE,1/21/2020 8:15:07 AM ET,Ryan Browne,"President Donald Trump’s lack of engagement on the issue of climate change has meant companies will need to step up their environmental efforts instead, according ..."
171,"Climate change in the US will hurt poor people the most, according to a bombshell ...",https://www.cnbc.com/2018/11/26/climate-change-will-hurt-poor-people-the-most-federal-report.html?&qsearchterm=CLIMATE CHANGE,11/26/2018 2:53:04 PM ET,Carmin Chappell,"Climate change will hit low-income communities the hardest as it takes a toll on the U.S. in general, says a blockbuster government report released on ..."
172,Fed Chair Jerome Powell on climate change,https://www.cnbc.com/video/2020/01/29/fed-chair-jerome-powell-on-climate-change.html?&qsearchterm=CLIMATE CHANGE,1/29/2020 4:17:14 PM ET,Carmin Chappell,Federal Reserve Chairman Jerome Powell holds a press conference after it announced its decision to hold rates.
173,UPDATE 1-JPMorgan Chase plans to unveil climate initiatives at investor day,https://www.cnbc.com/2020/02/24/reuters-america-update-1-jpmorgan-chase-plans-to-unveil-climate-initiatives-at-investor-day.html?&qsearchterm=CLIMATE CHANGE,2/24/2020 8:03:00 PM ET,Carmin Chappell,"(Adds comment from environmental group Rainforest Action Network)NEW YORK, Feb 24 (Reuters) - JPMorgan Chase & Co executives plan to announce new climate-change initiatives on ..."
174,"As the lab-grown meat industry grows, scientists debate if it could exacerbate climate change",https://www.cnbc.com/2019/10/19/lab-grown-meat-could-exacerbate-climate-change-scientists-say.html?&qsearchterm=CLIMATE CHANGE,10/19/2019 10:15:03 AM ET,Emma Newburger,Companies across the world are moving quickly to bring to the market hamburgers and other meat products that are grown from animal cells in a ...
175,Storing CO2 underground could help the fight against climate change. But cost is a big ...,https://www.cnbc.com/2019/04/08/storing-co2-underground-could-help-the-fight-against-climate-change.html?&qsearchterm=CLIMATE CHANGE,4/8/2019 7:53:59 AM ET,Anmar Frangoul,"Despite the emergence of renewable energy sources such as large-scale wind and solar power, our planet is still heavily reliant on fossil fuels. In the ..."
176,JPMorgan Chase plans to unveil climate initiatives at investor day,https://www.cnbc.com/2020/02/24/reuters-america-jpmorgan-chase-plans-to-unveil-climate-initiatives-at-investor-day.html?&qsearchterm=CLIMATE CHANGE,2/24/2020 5:30:00 PM ET,Anmar Frangoul,"NEW YORK, Feb 24 (Reuters) - JPMorgan Chase & Co executives plan to announce new climate-change initiatives on Tuesday, including restrictions on financing coal mining ..."
177,"Washington Gov. Jay Inslee enters 2020 presidential race, to focus on climate change",https://www.cnbc.com/2019/03/01/washington-gov-jay-inslee-enters-2020-presidential-race-with-focus-on-climate-change.html?&qsearchterm=CLIMATE CHANGE,3/1/2019 8:07:36 AM ET,Valerie Block,"Washington Gov. Jay Inslee announced Friday he’s running for president, saying he will emphasize attempts to combat climate change during his bid for the Democratic ..."
178,Ex-Facebook exec starts group to help employees push companies on climate,https://www.cnbc.com/2020/02/24/reuters-america-ex-facebook-exec-starts-group-to-help-employees-push-companies-on-climate.html?&qsearchterm=CLIMATE CHANGE,2/24/2020 1:01:00 AM ET,Valerie Block,"SAN FRANCISCO, Feb 24 (Reuters) - Facebook’s former sustainability chief has launched an organization to help employees at big companies press their bosses for more ..."
179,Response to climate change is the true test for global leaders: New Zealand’s prime minister,https://www.cnbc.com/2019/01/23/new-zealand-prime-minister-jacinda-arderns-message-for-global-leaders.html?&qsearchterm=CLIMATE CHANGE,1/23/2019 2:15:18 AM ET,Valerie Block,New Zealand’s Prime Minister Jacinda Ardern has a piece of advice for her fellow leaders: Don’t be on the wrong side of history.Ardern said Tuesday ...
180,"Climate change has a big impact on food safety, EFSA chief says",https://www.cnbc.com/video/2019/08/13/climate-change-has-a-big-impact-on-food-safety-efsa-chief-says.html?&qsearchterm=CLIMATE CHANGE,8/13/2019 6:41:34 AM ET,Valerie Block,"Bernhard Url, executive director of the EFSA, says technology must be used to mitigate the risk of climate change impairing food safety."
181,"Climate change will cost economy hundreds of billions of dollars, government says in sweeping report",https://www.cnbc.com/2018/11/23/us-report-says-climate-change-will-batter-economy-in-clash-with-trump.html?&qsearchterm=CLIMATE CHANGE,11/23/2018 3:23:44 PM ET,Valerie Block,"Climate change will cost the U.S. economy hundreds of billions of dollars by the end of the century, damaging everything from human health to infrastructure ..."
182,Climate change: Did we just witness the beginning of the end of Big Oil?,https://www.cnbc.com/2019/09/22/climate-change-did-we-just-witness-beginning-of-end-of-big-oil.html?&qsearchterm=CLIMATE CHANGE,9/22/2019 9:00:01 AM ET,Eric Rosenbaum,"Is the oil barrel half empty or half full? In the past week you had your pick of answers to choose from, and they were ..."
183,"Siberian heat wave is driving massive wildfires, sea ice melt in Arctic",https://www.cnbc.com/2020/07/24/climate-change-arctic-heatwave-driving-record-temperatures-wildfires.html?&qsearchterm=CLIMATE CHANGE,7/24/2020 10:55:18 AM ET,Emma Newburger,The World Meteorological Organization warned on Friday that temperatures in Siberia were about 18 degrees [10 degrees Celsius] above average in June as devastating fires ...
184,Jim Cramer: Microsoft’s attempt to fight climate change matters,https://www.cnbc.com/video/2020/01/16/jim-cramer-microsofts-attempt-to-fight-climate-change-matters.html?&qsearchterm=CLIMATE CHANGE,1/16/2020 7:48:31 PM ET,Emma Newburger,"“Whether or not Microsoft can save the environment, what matters is that they’re making the attempt and the stock wasn’t punished for it,” CNBC’s Jim ..."
185,EU’s Juncker proposes billions of spending on climate change after a 16-year-old’s speech,https://www.cnbc.com/2019/02/22/juncker-proposes-climate-change-spending-after-greta-thunberg-speech.html?&qsearchterm=CLIMATE CHANGE,2/22/2019 8:29:15 AM ET,Anmar Frangoul,"The President of the European Commission, Jean-Claude Juncker, said Thursday that a quarter of the European Union’s (EU) budget would be spent on tackling climate ..."
186,Most Americans want action on climate change. Republicans are the exception: Poll,https://www.cnbc.com/2018/12/17/americans-want-action-on-climate-change-republicans-are-the-exception-poll.html?&qsearchterm=CLIMATE CHANGE,12/17/2018 1:00:02 PM ET,John Harwood,Americans have reached consensus on the need to act in response to climate change with one conspicuous exception: Republicans.A new NBC News/ Wall Street Journal ...
187,Larry Fink: Financial risks of climate change are bigger than any other crisis,https://www.cnbc.com/video/2020/01/14/blackrock-ceo-larry-fink-sustainability-climate-change-squawk-box-part-one.html?&qsearchterm=CLIMATE CHANGE,1/14/2020 7:41:06 AM ET,John Harwood,"Larry Fink, founder and CEO of the world’s largest asset manager who oversees nearly $7 trillion at BlackRock, announced in his annual letter that BlackRock ..."
188,Thousands of activists block London roads to demand action on climate change,https://www.cnbc.com/2019/04/15/activists-block-london-roads-demanding-action-on-climate-change.html?&qsearchterm=CLIMATE CHANGE,4/15/2019 9:33:19 AM ET,John Harwood,"Thousands of environmental activists paralysed parts of central London on Monday by blocking Marble Arch, Oxford Circus and Waterloo Bridge in a bid to force ..."
189,Hundreds of Amazon employees risk firing to protest the company’s climate policies,https://www.cnbc.com/2020/01/27/amazon-employees-protest-external-communications-policy.html?&qsearchterm=CLIMATE CHANGE,1/27/2020 9:44:32 AM ET,Annie Palmer,More than 340 Amazon employees are protesting the company’s external communications policy.The employees signed onto a Medium post published Sunday by advocacy group Amazon Employees ...
190,Biggest US index funds oppose most climate proposals in shareholder votes,https://www.cnbc.com/2019/10/08/biggest-us-index-funds-oppose-most-climate-proposals-in-shareholder-votes.html?&qsearchterm=CLIMATE CHANGE,10/8/2019 3:27:14 PM ET,Annie Palmer,The far-reaching impacts of climate change on companies have investors pressing corporate leaders for action to minimize environmental damage and to maximize disclosure of risks ...
191,London police arrest 276 climate change protesters,https://www.cnbc.com/2019/10/07/london-police-arrest-276-climate-change-protesters.html?&qsearchterm=CLIMATE CHANGE,10/7/2019 4:13:42 PM ET,Annie Palmer,London’s Metropolitan Police said on Monday it had so far arrested 267 people taking part in demonstrations organized by the climate change protest group Extinction ...
192,"Act on climate change or risk global financial instability, $32 trillion investor alliance warns",https://www.cnbc.com/2018/12/10/act-on-climate-change-or-risk-financial-instability-investors-say.html?&qsearchterm=CLIMATE CHANGE,12/10/2018 10:43:19 AM ET,Chloe Taylor,More than four hundred investors have urged governments to act on climate change or risk the stability of their financial systems.Lobby group The Investor Agenda ...
193,Jaime Harrison on young voters and his plan to beat Trump ally Lindsey Graham,https://www.cnbc.com/2020/07/14/jaime-harrison-on-young-voters-and-battling-trump-ally-lindsey-graham.html?&qsearchterm=CLIMATE CHANGE,7/14/2020 9:14:13 AM ET,Joseph Magliocco,CNBC.com is interviewing candidates for federal office this summer to gain insight into their political vision for the U.S. and how it can impact the ...
194,Investors and firms are coalescing around climate change: BAML,https://www.cnbc.com/video/2019/12/03/investors-and-firms-are-coalescing-around-climate-change-baml.html?&qsearchterm=CLIMATE CHANGE,12/3/2019 4:14:08 AM ET,Joseph Magliocco,Sameer Chopra of the Bank of America Merrill Lynch says the investment required to mitigate climate risk is $10 trillion to $14 trillion. A large ...
195,Bernie Sanders’ $16.3 trillion climate plan sets the tone on a crucial issue in the ...,https://www.cnbc.com/2019/08/28/bernie-sanders-climate-plan-sets-tone-on-crucial-issue-in-democratic-primary.html?&qsearchterm=CLIMATE CHANGE,8/28/2019 5:33:20 PM ET,Jordan McDonald,"Sen. Bernie Sanders, I-Vt., upended the climate change debate in the Democratic 2020 primary last week when he proposed a staggering $16.3 trillion federal investment ..."
